case1	case2	response
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"Set my dads ringtone to love me by justin bieber and it went off in Walmart and everyone was staring at him Hahaha : )####['justin bieber', 'positive']
"	"Domain Relevance: 0
- Sentence 1 is related to finance or stock market (Sensex), while sentence 2 is about setting a ringtone and Justin Bieber. These two sentences are from different domains.

Sentiment Similarity: 0
- Sentence 1 expresses a neutral sentiment towards Sensex, while sentence 2 expresses a positive sentiment towards Justin Bieber's song. The sentiments are different.

Syntactic Similarity: 0
- The grammatical structures of the two sentences are different. Sentence 1 is a headline-like sentence, while sentence 2 is a more descriptive sentence with a personal experience.

Lexical Similarity: 0
- The words and phrases used in the two sentences are unrelated. Sentence 1 uses terms related to stock trading (Sensex, intraday trading ideas), while sentence 2 mentions setting a ringtone and Justin Bieber.

Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"Very nice fitting and durable and they really light up your legs.Not very practical for everyday wear but if you really want to show off your legs , these are just the ticket .####[['they', 'positive']]
"	"Domain Relevance: 0
The two sentences do not indicate belonging to the same domain. Sentence 1 seems to be related to finance or stock market (""Sensex"" is the stock market index of India), while Sentence 2 appears to be related to fashion or clothing.

Sentiment Similarity: 0
The sentiments expressed in the two sentences are different. Sentence 1 indicates a neutral sentiment towards the Sensex, whereas Sentence 2 expresses a positive sentiment towards the fitting and durability of a product.

Syntactic Similarity: 0
The grammatical structures of the two sentences are different. Sentence 1 is a headline-like structure with a subject (Sensex) and an adjective (rangebound), whereas Sentence 2 is a descriptive sentence with multiple phrases and clauses.

Lexical Similarity: 0
The two sentences employ different lexical choices and phrases. Sentence 1 includes financial terms like ""Sensex"" and ""intraday trading ideas,"" whereas Sentence 2 discusses fitting, durability, legs, and daily wear."
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"The ambiance is minimal the food is not phenomenal , but some dishes are quite good , such as the eggplant parmesan , veal in carozza chicken saltimbocca .####[['ambiance', 'positive'], ['food', 'negative'], ['dishes', 'positive']]
"	"Domain Relevance: 0
The first sentence is related to the stock market (Sensex), while the second sentence is related to food (ambiance, dishes). Therefore, they do not belong to the same domain.

Sentiment Similarity: 0
The first sentence has a single sentiment (neutral) associated with the aspect ""Sensex."" The second sentence has multiple sentiments (positive, negative) associated with different aspects (""ambiance"" and ""food""). The sentiments and their quantities are not equivalent, so the sentences do not express similar sentiments.

Syntactic Similarity: 0
The grammatical structures of the two sentences are different. The first sentence is a short headline-like statement, while the second sentence is a longer and more descriptive sentence with multiple clauses.

Lexical Similarity: 0
The sentences employ different words and phrases related to their respective domains. The first sentence uses terms like ""Sensex,"" ""rangebound,"" and ""intraday trading ideas,"" while the second sentence uses words like ""ambiance,"" ""food,"" ""dishes,"" ""eggplant parmesan,"" ""veal in carozza,"" and ""chicken saltimbocca."" There is no overlap in lexical choice between the two sentences.

Therefore, the analysis is as follows:
- Domain Relevance: 0
- Sentiment Similarity: 0
- Syntactic Similarity: 0
- Lexical Similarity: 0"
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"Seriously , who the fuck is kim kardashian and why is she supposed to be famous , Why are some people famous for being famous ?####['kim kardashian', 'negative']
"	"Domain Relevance: 0

Explanation: Sentence 1 is related to the financial domain (Sensex refers to the stock market index of Bombay Stock Exchange in India), while Sentence 2 is related to the celebrity/pop culture domain (referring to Kim Kardashian). These two sentences belong to different domains.

Sentiment Similarity: 0

Explanation: Sentence 1 expresses a neutral sentiment towards the Sensex, while Sentence 2 expresses a negative sentiment towards Kim Kardashian. The sentiments are not similar.

Syntactic Similarity: 0

Explanation: Sentence 1 is a news headline that describes a situation (Sensex rangebound; top 20 intraday trading ideas), while Sentence 2 is a rhetorical question expressing frustration towards Kim Kardashian. The syntactic structures of the two sentences are different.

Lexical Similarity: 0

Explanation: The words and phrases used in Sentence 1 are related to the stock market (Sensex, rangebound, intraday trading), while Sentence 2 uses words and phrases related to a celebrity (kim kardashian, famous). The lexical choices in the two sentences are different."
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"February 2 2014: Mecklai Financial report on rupee####[['Mecklai Financial', 'neutral'], ['rupee', 'neutral']]
"	"Domain Relevance: 0
The two sentences do not belong to the same domain. Sentence 1 is related to the stock market (Sensex) and trading ideas, while Sentence 2 is about a financial report on the rupee.

Sentiment Similarity: 1
Both sentences have only one aspect-sentiment pair and the sentiment for both is 'neutral'. Therefore, the sentiment similarity is 1.

Syntactic Similarity: 0
The grammatical structures of the two sentences are not similar. Sentence 1 is a headline-like statement with a semicolon and Sentence 2 is a date followed by a colon and a report title.

Lexical Similarity: 0
The sentences employ different words and phrases. Sentence 1 mentions ""Sensex"", ""rangebound"", and ""intraday trading ideas"", while Sentence 2 mentions ""Mecklai Financial"" and ""rupee"".

Output:

Domain Relevance: 0
Sentiment Similarity: 1
Syntactic Similarity: 0
Lexical Similarity: 0"
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"The duck confit is always amazing and the foie gras terrine with figs was out of this world .####[['duck confit', 'positive'], ['foie gras terrine with figs', 'positive']]
"	"- Domain Relevance: 0
    - Reason: The first sentence seems to be related to the finance or stock market domain, while the second sentence is related to food or culinary domain. Hence, the domains are not relevant.
- Sentiment Similarity: 0
    - Reason: The first sentence has a neutral sentiment, while the second sentence has positive sentiments for two different aspects. Hence, the sentiments are not similar.
- Syntactic Similarity: 0
    - Reason: The structure of the two sentences is quite different. The first sentence is about a topic (Sensex) and provides trading ideas, while the second sentence provides two opinions about two different dishes. There are no structural similarities between the two sentences.
- Lexical Similarity: 0
    - Reason: The lexical choices and phrases used in the two sentences are quite different due to different domains. There is no significant overlap between the two sentences in terms of vocabulary or syntax."
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"The main downside to the place is the nazi-like guy running it who constantly complains about the noise level .####[['noise level', 'negative']]
"	"Domain Relevance: 0
The first sentence is related to the financial domain (Sensex), while the second sentence is related to a negative experience with a place. These two domains are dissimilar.

Sentiment Similarity: 0
The first sentence expresses a neutral sentiment towards the Sensex, while the second sentence expresses a negative sentiment towards the noise level. The sentiments are different, so the similarity is 0.

Syntactic Similarity: 0
The structures of the two sentences are different. The first sentence is a headline-like statement while the second sentence is a more descriptive sentence with a subject and object. Therefore, the syntactic similarity is 0.

Lexical Similarity: 0
The two sentences employ different words and phrases. The first sentence mentions ""Sensex"" and ""intraday trading ideas,"" while the second sentence mentions ""the place,"" ""nazi-like guy,"" and ""noise level."" There is no significant lexical similarity between the two sentences, so the similarity is 0."
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"Great location close to shops , restaurants , trains and universities .####[['location', 'positive']]
"	"Domain Relevance: 0
- The first sentence is related to stock market news (Sensex) while the second sentence is related to location and amenities. These two sentences do not belong to the same domain.

Sentiment Similarity: 0
- The first sentence is neutral while the second sentence is positive. The sentiments expressed in these two sentences are different.

Syntactic Similarity: 0
- The syntactic structures of the two sentences are different. The first sentence is a headline-like statement while the second sentence is a description of a location.

Lexical Similarity: 0
- The lexical choices in the two sentences are different. The first sentence includes words related to stock market trading (e.g., Sensex, intraday trading ideas) while the second sentence includes words related to location (e.g., location, shops, restaurants, trains, universities).

Output:
- Domain Relevance: 0
- Sentiment Similarity: 0
- Syntactic Similarity: 0
- Lexical Similarity: 0"
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"We started with lox and mussels ( the best ive ever had , ever ) and had the cod and trout for dinner .####[['lox', 'positive']]
"	"Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
"Sensex rangebound; top 20 intraday trading ideas####[['Sensex', 'neutral']]
"	"i take my kindle to anywhere i go , no need for any bag , i just hold it in my hand , great against a black jacket .####['kindle', 'positive']
"	"Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
